Date Time,Capcode,Agency,Brigade,Message
2023-08-16 00:59,0144511,FRNSW,445 Spingwood,FRINC TYPE: ASSIST AMBULANCE TURNOUT: RP445A INC: 142721-16082023
2023-08-16 00:20,0135711,FRNSW,357 Lambton,FRINC TYPE: ASSIST AMBULANCE TURNOUT: RP357 INC: 142701-16082023
2023-08-15 23:26,0144511,FRNSW,445 Spingwood,FRINC TYPE: MEDICAL ACCESS EMERGENCY TURNOUT: RP445A INC: 142687-15082023
2023-08-15 23:01,0010816,Lower Hunter,Medowie Brigade,"LHMEDOW7 - 23-023109 - MVA - OPP CHURCH ON RAMP,PACIFIC HWY,FERODALE,PORT STEPHENS COUNCIL (NSW),2318 - [151.83625793457,-32.6676940917969]"
2023-08-15 23:01,0010816,Lower Hunter,Medowie Brigade,"LHMEDOWP - 23-023109 - MVA - OPP CHURCH ON RAMP,PACIFIC HWY,FERODALE,PORT STEPHENS COUNCIL (NSW),2318 - [151.83625793457,-32.6676940917969]"
2023-08-15 23:01,0010864,Lower Hunter,Raymond Terrace Brigade,"LHRAYTE - 23-023109 - MVA - OPP CHURCH ON RAMP,PACIFIC HWY,FERODALE,PORT STEPHENS COUNCIL (NSW),2318 - [151.83625793457,-32.6676940917969]"
2023-08-15 22:51,0125411,FRNSW,254 Cessnock,FRINC TYPE: MVA FLUID ON ROADWAY TURNOUT: P254A INC: 142677-15082023
2023-08-15 22:27,0145811,FRNSW,458 Teralba,FRINC TYPE: ASSIST AMBULANCE TURNOUT: P458 INC: 142666-15082023
2023-08-15 21:44,1310272,Lower Hunter,Bolwarra/Largs Brigade,"LHBOLWA1 - 23-023104 - Vehicle fire - ABERGLASSLYN RD,MELVILLE FORD RD,ABERGLASSLYN,MAITLAND COUNCIL (NSW),2320 - [151.526061,-32.6888539999]"
2023-08-15 21:44,1310272,Lower Hunter,Bolwarra/Largs Brigade,"LHBOLWA7 - 23-023104 - Vehicle fire - ABERGLASSLYN RD,MELVILLE FORD RD,ABERGLASSLYN,MAITLAND COUNCIL (NSW),2320 - [151.526061,-32.6888539999]"
2023-08-15 21:44,1310200,Lower Hunter,Lochinvar Brigade,"LHLOCHI - 23-023104 - Vehicle fire - ABERGLASSLYN RD,MELVILLE FORD RD,ABERGLASSLYN,MAITLAND COUNCIL (NSW),2320 - [151.526061,-32.6888539999]"
2023-08-15 21:32,1310096,Lower Hunter,Greta Brigade,"LHFLEET1O - 23-023103 - Smoke in vicinity - FIRECALL - 60 BRICKMANS LANE,LOVEDALE,CESSNOCK COUNCIL (NSW),2325 - [151.375392,-32.76433]"
2023-08-15 21:32,1310104,Lower Hunter,Central Cessnock Brigade,"LHCENTR7 - 23-023103 - Smoke in vicinity - FIRECALL - 60 BRICKMANS LANE,LOVEDALE,CESSNOCK COUNCIL (NSW),2325 - [151.375392,-32.76433]"
2023-08-15 21:30,1310136,Lower Hunter,Rothbury Brigade,"LHROTHB - 23-023103 - Smoke in vicinity - FIRECALL - 60 BRICKMANS LANE,LOVEDALE,CESSNOCK COUNCIL (NSW),2325 - [151.375392,-32.76433]"
2023-08-15 21:20,0107911,FRNSW,79 Ingleburn,FRINC TYPE: MVA TURNOUT: T84 INC: 142649-15082023
2023-08-15 21:04,0121011,FRNSW,210 Balgownie,FRINC TYPE: AFA TURNOUT: P210 INC: 142642-15082023
2023-08-15 20:54,0145411,FRNSW,454 Tarro,FRINC TYPE: BIN FIRE TURNOUT: CT454 INC: 142631-15082023
2023-08-15 20:33,0148511,FRNSW,485 Wangi Wangi,FRINC TYPE: ASSIST AMBULANCE TURNOUT: P485 INC: 142632-15082023
2023-08-15 20:08,0108811,FRNSW,88 Campbelltown,FRINC TYPE: MVA TURNOUT: CP88 INC: 142623-15082023
2023-08-15 19:23,0104811,FRNSW,48 Mortdale,FRINC TYPE: HOUSE FIRE TURNOUT: CP48 INC: 142598-15082023
2023-08-15 19:18,0108311,FRNSW,83 Riverstone,FRINC TYPE: HOUSE FIRE TURNOUT: CP83 INC: 142594-15082023
2023-08-15 19:14,0144411,FRNSW,444 Singleton,FRINC TYPE: NO CALLER ON LINE TURNOUT: RP444 INC: 142591-15082023
2023-08-15 19:00,0789000,Illawarra,Illawarra Broadcast Message,KIAMA DAILY TEST 18:59
2023-08-15 19:00,1310128,Lower Hunter,Pokolbin Brigade,POKOLBIN 1900 TEST PAGE
2023-08-15 18:59,0137411,FRNSW,374 Maitland,FRINC TYPE: ASSIST AMBULANCE TURNOUT: P374 INC: 142587-15082023
2023-08-15 18:59,0108811,FRNSW,88 Campbelltown,FRINC TYPE: HOUSE FIRE TURNOUT: CP88 INC: 142589-15082023
2023-08-15 18:58,1439108,Southern Highlands,Wingecarribee All,WINGECARRIBEE DAILY TEST 18:57
